분류,장소명,카카오맵_장소명,검색_장소명,위도,경도,주소
자연,쌍용굴,한림공원 쌍용굴,쌍용굴,33.38645018,126.2407225,제주특별자치도 제주시 한림읍 협재리
자연,아부오름,아부오름,아부오름,33.44858418,126.777215,제주특별자치도 제주시 구좌읍 송당리 2263
자연,안덕계곡,안덕계곡,안덕계곡,33.25720217,126.3525826,제주특별자치도 서귀포시 안덕면 감산리 1946
자연,어승생,어승생승마장,어승생승마장,33.4256641,126.490813,제주특별자치도 제주시 노형동 산 14-1
자연,엉또폭포,엉또폭포,엉또폭포,33.26853216,126.4999655,제주특별자치도 서귀포시 강정동 5628
자연,엉알해안,엉알해안,엉알해안,33.29942092,126.1675155,제주특별자치도 제주시 한경면 고산리
자연,여미지식물원,여미지식물원,여미지식물원,33.25260678,126.4142595,제주특별자치도 서귀포시 색달동 2484-1
자연,연화못,연화못,연화못,33.29425782,126.2332898,제주특별자치도 제주시 한경면 청수리 3333-1
자연,열안지,열안지,열안지,33.42576024,126.5212974,제주특별자치도 제주시 오라동 산 97
자연,열안지오름,열안지오름,열안지오름,33.47305474,126.6052914,제주특별자치도 제주시 봉개동 산 778-1
자연,오백나한,오백나한,오백나한,33.35653848,126.5020585,제주특별자치도 서귀포시 하원동
자연,오조마을,오조마을,오조마을,33.46207672,126.9140605,제주특별자치도 서귀포시 성산읍 오조리
자연,왕이메,왕이메,왕이메,33.3436202,126.376642,제주특별자치도 서귀포시 안덕면 광평리
자연,외돌개,외돌개,외돌개,33.23903382,126.5448623,제주특별자치도 서귀포시 서홍동 791
자연,용눈이오름,용눈이오름,용눈이오름,33.45969968,126.8325101,제주특별자치도 제주시 구좌읍 종달리 산 38
자연,용두암,용두암,용두암,33.51611062,126.5119571,제주특별자치도 제주시 용담2동 483
자연,용머리해안,용머리해안,용머리해안,33.23165676,126.3147366,제주특별자치도 서귀포시 안덕면 사계리
자연,용연,용연구름다리,용연구름다리,33.512722,126.514464,제주특별자치도 제주시 용담일동 2581-4
자연,용천동굴,용천동굴,용천동굴,33.54828143,126.7781698,제주특별자치도 제주시 구좌읍 월정리 1837-2
자연,우도등대,우도항로표지관리소,우도등대,33.49309193,126.9660906,제주특별자치도 제주시 우도면 연평리 337
자연,우도산호해변,우도산호해변,우도산호해변,33.50240607,126.9430478,제주특별자치도 제주시 우도면 연평리
자연,우도,우도,우도,33.50441997,126.9555823,제주특별자치도 제주시 우도면 연평리
자연,웃세오름,윗세오름,윗세오름,33.371137,126.510176,제주특별자치도 제주시 애월읍 광령리 산183
자연,월정리해변,월정리해수욕장,월정리해수욕장,33.55646939,126.7958051,제주특별자치도 제주시 구좌읍 월정리 33-3
자연,이호테우해변,이호테우해수욕장,이호테우해수욕장,33.4973768,126.4526908,제주특별자치도 제주시 이호일동 1665-13
자연,저지오름,저지오름,저지오름,33.33268661,126.2508601,제주특별자치도 제주시 한경면 저지리 산 51
자연,정물알오름,정물알오름,정물알오름,33.34054131,126.3244205,제주특별자치도 제주시 한림읍 금악리 105-1
자연,정물오름,정물오름,정물오름,33.33849135,126.3294634,제주특별자치도 제주시 한림읍 금악리 산 52-1
자연,정방폭포,정방폭포,정방폭포,33.24499661,126.5716053,제주특별자치도 서귀포시 동홍동 299-3
자연,제주노루생태관찰원,노루생태관찰원,노루생태관찰원,33.44481525,126.625806,제주특별자치도 제주시 봉개동 산 51-2
자연,제주당처물동굴,당처물동굴,당처물동굴,33.55689077,126.78482,제주특별자치도 제주시 구좌읍 월정리 1457
자연,제주선흘리벵뒤굴,벵뒤굴,벵뒤굴,33.47537456,126.7179055,제주특별자치도 제주시 조천읍 선흘리 365
자연,제주토끼섬문주란자생지,토끼섬 문주란자생지,문주란자생지,33.5237453,126.9026752,제주특별자치도 제주시 구좌읍 하도리 산 85
자연,제주하도리철새도래지,하도리철새도래지,하도리철새도래지,33.51121572,126.8970623,제주특별자치도 제주시 구좌읍 하도리
자연,제주절물자연휴양림,제주절물자연휴양림,절물자연휴양림,33.43915259,126.6280113,제주특별자치도 제주시 봉개동 산 78-1
자연,제지기오름,제지기오름,제지기오름,33.24161574,126.6094764,제주특별자치도 서귀포시 보목동 275-1
자연,종달리해안도로,종달리해안도로,종달리해안도로,33.4826062,126.9017357,제주특별자치도 제주시 구좌읍 종달리 630-1
자연,주상절리대,대포주상절리,대포주상절리,33.23837534,126.4258132,제주특별자치도 서귀포시 중문동 2767
자연,중문·색달해변,중문색달해수욕장,중문색달해수욕장,33.24503815,126.4114987,제주특별자치도 서귀포시 색달동 3039
자연,지미봉,지미봉,지미봉,33.49960787,126.9030165,제주특별자치도 제주시 구좌읍 종달리 산 3-1
자연,차귀도,차귀도,차귀도,33.31155496,126.1476252,제주특별자치도 제주시 한경면 고산리 125
자연,천아오름,천아오름,천아오름,33.3959387,126.4499396,제주특별자치도 제주시 애월읍 광령리 산 182-1
자연,천제연폭포,천제연폭포,천제연폭포,33.25267658,126.4183754,제주특별자치도 서귀포시 중문동 2232
자연,천지연폭포,천지연폭포,천지연폭포,33.24720872,126.5545245,제주특별자치도 서귀포시 서홍동 2565
자연,추자도,추자도,추자도,33.95286305,126.3148473,제주특별자치도 제주시 추자면 묵리
자연,추자도등대,추자도등대,추자도등대,33.95789026,126.2982718,제주특별자치도 제주시 추자면 영흥리 75
자연,카멜리아힐,카멜리아힐,카멜리아힐,33.28963443,126.3700095,제주특별자치도 서귀포시 안덕면 상창리 271
자연,폭낭오름,폭낭오름,폭낭오름,33.35202041,126.3818635,제주특별자치도 제주시 애월읍 봉성리 산 43
자연,표선해비치해변,표선해수욕장,표선해수욕장,33.32751092,126.8374248,제주특별자치도 서귀포시 표선면 표선리
자연,하고수동해변,하고수동해변,하고수동해변,33.5141508,126.9576482,제주특별자치도 제주시 우도면 연평리
자연,하모리해변,하모해수욕장,하모해수욕장,33.21106494,126.2607532,제주특별자치도 서귀포시 대정읍 하모리
자연,한대오름,한라산 한대오름,한대오름,33.35631853,126.424477,제주특별자치도 제주시 애월읍 봉성리 산 1
